lista_surowiec_grupa,lista_towar_grupa,lista_usluga_grupa,lista_dlugoterminowe_grupa,lista_dziaÅ‚y,lista_typy,lista_nazwa_wew,lista_typ,lista_grupa,lista_jm_wew,lista_dziaÅ‚,,,,,,,lista_jm
suchy,nap_gorace,serwis,leasing_rata,kuchnia,surowiec,anyÅ¼ gwiazdki,surowiec,suchy,kg,kuchnia,,,,,,,szt
mroÅ¼onka,nap_zimne,dozÃ³r,kredyt_rata,bar,towar,bazylia Å›wieÅ¼a,surowiec,zioÅ‚o,kg,kuchnia,,,,,,,kg
tÅ‚uszcz,piwo,koszt_przesyÅ‚ki,leasing_odsetki,noclegi,usluga,biszkopty,surowiec,suchy,kg,kuchnia,,,,,,,kart
nabiaÅ‚,wino,kara,kredy_odsetki,pracownicy,dlugoterminowe,bita Å›mietana butla,surowiec,nabiaÅ‚,szt,kuchnia,,,,,,,l
zioÅ‚o,alkohol,odsetki_zwÅ‚oka,leasing_obsÅ‚uga,pojazdy,,boczek parzony,surowiec,miÄ™so,kg,kuchnia,,,,,,,op
przyprawa,mapa,opÅ‚aty_bankowe,kredyt_opÅ‚ata,gospodarcze,,boczek parzony plastry,surowiec,miÄ™so,kg,kuchnia,,,,,,,m
owoc,pamiÄ…tka,sprzÄ…tanie,,biuro,,borÃ³wka amerykaÅ„ska,surowiec,owoc,kg,kuchnia,,,,,,,m2
warzywo,media,wynagrodzenie,,inwestycje,,bÃ³b mroÅ¼ony,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,m3
miÄ™so,biurowe,ksiÄ™gowoÅ›Ä‡,,priv,,brie,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,zgrz
vegan,chemia_gospo,wynajem_sprzÄ™tu,,,,buÅ‚ka brioche,surowiec,mroÅ¼onka,szt,kuchnia,,,,,,,
,opakowania,czynsz_dzierÅ¼awa,,,,buÅ‚ka burgerowa bezglutenowa,surowiec,mroÅ¼onka,szt,kuchnia,,,,,,,
,paliwo,pozwolenia,,,,buÅ‚ka pszenna,surowiec,suchy,szt,kuchnia,,,,,,,
,art_gospo,prowizje,,,,buÅ‚ka tarta,surowiec,suchy,kg,kuchnia,,,,,,,
,potrawa,premia,,,,burak korzeÅ„,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,burak kostka puszka,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,cebula biaÅ‚a,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,cebula czerwona,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,cebula praÅ¼ona,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,chaÅ‚wa,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,chedar,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,chleb bezglutenowy,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,chleb kanapkowy,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,chleb pszenny,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,chrzan tarty,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,cukier,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,cukier puder,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,cukier wanilinowy,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,cukinia,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,cynamon,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,cynamon laska,surowiec,przyprawa,kg,kuchnia,,,,,,,
